,names,descriptions,titles,research,links,gs_names,affiliation,scholar_id,cited_by,url_pic,email_domain,nsf_id,score
102,"Mandal, Krishna","Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A38301 Main StreetColumbia , SC 29208']","['https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2009/nsf09563/nsf09563.htm', 'https://www.nsf.gov/pubs/2006/nsf06557/nsf06557.htm', 'https://www.nsf.gov/pubs/2014/nsf14514/nsf14514.htm', 'https://www.nsf.gov/pubs/2009/nsf09549/nsf09549.htm', 'https://www.nsf.gov/pubs/2006/nsf06587/nsf06587.htm', 'https://www.nsf.gov/pubs/2007/nsf07598/nsf07598.htm', 'https://www.nsf.gov/pubs/2012/nsf12614/nsf12614.htm', 'https://www.nsf.gov/pubs/2012/nsf12510/nsf12510.htm']",Krishna C Mandal,"Department of Electrical Engineering, University of South Carolina, Columbia, SC 29208 …",C42R3M4AAAAJ,3646,https://scholar.google.com/citations?view_op=medium_photo&user=C42R3M4AAAAJ,@cec.sc.edu,"['nsf02189', 'nsf09563', 'nsf06557', 'nsf14514', 'nsf09549', 'nsf06587', 'nsf07598', 'nsf12614', 'nsf12510']","[0.8115825653076172, 0.7528987526893616, 0.7330294847488403, 0.7330294847488403, 0.7330294847488403, 0.7309582233428955, 0.7283599376678467, 0.7283599376678467, 0.718147337436676]"
103,"Matolak, David","Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A28301 Main StreetColumbia , SC 29208']","['https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2009/nsf09549/nsf09549.htm', 'https://www.nsf.gov/pubs/2009/nsf09563/nsf09563.htm', 'https://www.nsf.gov/pubs/2014/nsf14514/nsf14514.htm', 'https://www.nsf.gov/pubs/2006/nsf06557/nsf06557.htm', 'https://www.nsf.gov/pubs/2006/nsf06587/nsf06587.htm', 'https://www.nsf.gov/pubs/2007/nsf07598/nsf07598.htm', 'https://www.nsf.gov/pubs/2012/nsf12614/nsf12614.htm', 'https://www.nsf.gov/pubs/2008/nsf08561/nsf08561.htm']",,,,,,,"['nsf02189', 'nsf09549', 'nsf09563', 'nsf14514', 'nsf06557', 'nsf06587', 'nsf07598', 'nsf12614', 'nsf08561']","[0.8113493919372559, 0.755110502243042, 0.7336720824241638, 0.7329537272453308, 0.7329537272453308, 0.7329537272453308, 0.7315716743469238, 0.7315716743469238, 0.7189821004867554]"
104,"Matta, Fabio","Graduate Director, Civil and Environmental Engineering",Faculty,"['Dr . Matta s team conducts experimental and theoretical research on construction materials and their structural performance , ranging from affordable and high quality earth masonry to advanced cement and polymer matrix composites , with an emphasis on extreme stressors . Areas of interest include affordable and high quality dwelling structures for hazard mitigation strengthening and repair of civil structures multi scale and multi functional reinforcement for cement composites and concrete load testing , monitoring and assessment of constructed facilities and corrosion in steel and concrete structures . Research sponsors include the National Science Foundation , the US Department of Energy , the National Institute of Standards and Technology , and industry .']","['https://www.nsf.gov/pubs/2007/nsf07506/nsf07506.htm', 'https://www.nsf.gov/pubs/2008/nsf08519/nsf08519.htm', 'https://www.nsf.gov/pubs/2009/nsf09524/nsf09524.htm', 'https://www.nsf.gov/pubs/2011/nsf11512/nsf11512.htm', 'https://www.nsf.gov/pubs/2011/nsf11566/nsf11566.htm', 'https://www.nsf.gov/pubs/2003/nsf03589/nsf03589.htm', 'http://www.nsf.gov/pubs/2006/nsf06504/nsf06504.htm', 'https://www.nsf.gov/pubs/2008/nsf08574/nsf08574.htm', 'https://www.nsf.gov/pubs/2005/nsf05547/nsf05547.htm', 'https://www.nsf.gov/pubs/2020/nsf20500/nsf20500.htm']",,,,,,,"['nsf07506', 'nsf08519', 'nsf09524', 'nsf11512', 'nsf11566', 'nsf03589', 'nsf06504', 'nsf08574', 'nsf05547', 'nsf20500']","[0.825673520565033, 0.825618326663971, 0.8254779577255249, 0.8252089023590088, 0.8252089023590088, 0.8095499277114868, 0.8060696721076965, 0.8056637644767761, 0.8051470518112183, 0.8007140159606934]"
105,"Matthews, Catherine","Instructor, Computer Science & Engineering",Faculty,['Instructor for CSCE 101 and 102 classes .'],"['https://www.nsf.gov/pubs/2017/nsf17525/nsf17525.htm', 'https://www.nsf.gov/pubs/2018/nsf18537/nsf18537.htm', 'https://www.nsf.gov/pubs/2020/nsf20539/nsf20539.htm', 'https://www.nsf.gov/pubs/2003/nsf03511/nsf03511.htm', 'https://www.nsf.gov/pubs/2004/nsf04594/nsf04594.htm', 'https://www.nsf.gov/pubs/2003/nsf03591/nsf03591.htm', 'https://www.nsf.gov/pubs/2013/nsf13580/nsf13580.htm', 'https://www.nsf.gov/pubs/2007/nsf07543/nsf07543.htm', 'https://www.nsf.gov/pubs/2006/nsf06536/nsf06536.htm', 'https://www.nsf.gov/pubs/2014/nsf14596/nsf14596.htm']",,,,,,,"['nsf17525', 'nsf18537', 'nsf20539', 'nsf03511', 'nsf04594', 'nsf03591', 'nsf13580', 'nsf07543', 'nsf06536', 'nsf14596']","[0.823233425617218, 0.8057530522346497, 0.7968835830688477, 0.7870122194290161, 0.7818034887313843, 0.7795987129211426, 0.7779189348220825, 0.7776058912277222, 0.7776058912277222, 0.7736003398895264]"
106,"Matthews, Manton M","Professor, Computer Science & Engineering ",Staff,"['Graph Theory, Security, Natural language processing']","['https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2005/nsf05500/nsf05500.htm', 'https://www.nsf.gov/pubs/2015/nsf15515/nsf15515.htm', 'https://www.nsf.gov/pubs/2016/nsf16515/nsf16515.htm', 'https://www.nsf.gov/pubs/2016/nsf16603/nsf16603.htm', 'https://www.nsf.gov/pubs/2010/nsf10583/nsf10583.htm', 'https://www.nsf.gov/pubs/2010/nsf10540/nsf10540.htm', 'https://www.nsf.gov/pubs/2012/nsf12598/nsf12598.htm', 'https://www.nsf.gov/pubs/2004/nsf04520/nsf04520.htm', 'https://www.nsf.gov/pubs/2011/nsf11570/nsf11570.htm']",Manton Matthews,"Professor of Computer Science,  University of South Carolina",VRF_3FsAAAAJ,1215,https://scholar.google.com/citations?view_op=medium_photo&user=VRF_3FsAAAAJ,@sc.edu,"['nsf02189', 'nsf05500', 'nsf15515', 'nsf16515', 'nsf16603', 'nsf10583', 'nsf10540', 'nsf12598', 'nsf04520', 'nsf11570']","[0.8251593112945557, 0.8243877291679382, 0.8235595226287842, 0.8189070820808411, 0.8189070820808411, 0.8104460835456848, 0.7977275848388672, 0.7971211075782776, 0.79665607213974, 0.7952908277511597]"
107,"Matthews, Michael A.",Associate Vice President for Research | Senior Associate Dean for Research and Graduate Programs,Faculty,"['Professor Mike Matthews obtained his Ph . D . in 1986 from Texas A M University . He joined the University of South Carolina in 1994 . He teaches and conducts research in the broad field of thermodynamics , with projects related to hydrogen storage in chemical hydrides , biomedical engineering , and green chemistry . He has raised over 10M in research funding and has published approximately 70 journal papers . He has served as department chair , associate dean , and chair of the Industrial and Engineering Chemistry Division of the American Chemical Society ACS . Currently he serves on the Committee on Environmental Improvement of ACS . He is a Fellow both of the American Chemical Society and the American Institute of Chemical Engineers . Two major research thrusts are underway in his group . The first deals with applications of supercritical carbon dioxide for biomedical applications . Funding from the National Institute of Biomedical Imaging and Bioengineering has focused on development of novel technology for sterilization and disinfection of synthetic and natural biomaterials . Funding from the National Institute of Environmental Health Sciences is aimed at abatement of indoor allergenic proteins and other respiratory hazards . Dr . Matthews founded CarboNix LLC with the aid of three SBIR grants from the NIEHS . The second thrust is in utilization of chemical hydrides as a hydrogen storage medium , with application in PEM fuel cells . Funding from NSF and DOE has led to expanded understanding of the role of deliquescence in the reaction between water vapor and sodium borohydride . In addition , improved understanding of the hydration states of the reaction products is important in decreasing the total water utilization in this reaction .']","['https://www.nsf.gov/pubs/2008/nsf08599/nsf08599.htm', 'https://www.nsf.gov/pubs/2017/nsf17517/nsf17517.htm', 'https://www.nsf.gov/pubs/2013/nsf13564/nsf13564.htm', 'https://www.nsf.gov/pubs/2010/nsf10533/nsf10533.htm', 'https://www.nsf.gov/pubs/2003/nsf03525/nsf03525.htm', 'https://www.nsf.gov/pubs/2020/nsf20501/nsf20501.htm', 'https://www.nsf.gov/pubs/2019/nsf19525/nsf19525.htm', 'https://www.nsf.gov/pubs/2016/nsf16518/nsf16518.htm', 'https://www.nsf.gov/pubs/2020/nsf20541/nsf20541.htm', 'https://www.nsf.gov/pubs/2018/nsf18525/nsf18525.htm']",,,,,,,"['nsf08599', 'nsf17517', 'nsf13564', 'nsf10533', 'nsf03525', 'nsf20501', 'nsf19525', 'nsf16518', 'nsf20541', 'nsf18525']","[0.8018360137939453, 0.7970531582832336, 0.7970216274261475, 0.7909563779830933, 0.7844685316085815, 0.7837938070297241, 0.7836136221885681, 0.7798126935958862, 0.777938723564148, 0.7777056694030762]"
108,"McAnally, A. Steve",Associate Professor,Faculty,"['Dr . McAnally s research interests focus on water and wastewater treatment , particularly appropriate technology applications for developing communities . Recent research projects include optimization studies for potable water production using low cost portable water treatment units . Other research areas include water treatment for heavy metals removal and corrosion control , industrial waste minimization , constructed wetland applications for industrial and municipal wastewater treatment and education reform in civil and environmental engineering .']","['https://www.nsf.gov/pubs/2006/nsf06545/nsf06545.htm', 'https://www.nsf.gov/pubs/2013/nsf13564/nsf13564.htm', 'https://www.nsf.gov/pubs/2015/nsf15558/nsf15558.htm', 'https://www.nsf.gov/pubs/2013/nsf13531/nsf13531.htm', 'https://www.nsf.gov/pubs/2020/nsf20560/nsf20560.htm', 'https://www.nsf.gov/pubs/2009/nsf09538/nsf09538.htm', 'https://www.nsf.gov/pubs/2017/nsf17530/nsf17530.htm', 'https://www.nsf.gov/pubs/2005/nsf05526/nsf05526.htm', 'https://www.nsf.gov/pubs/2018/nsf18521/nsf18521.htm', 'https://www.nsf.gov/pubs/2015/nsf15524/nsf15524.htm']",,,,,,,"['nsf06545', 'nsf13564', 'nsf15558', 'nsf13531', 'nsf20560', 'nsf09538', 'nsf17530', 'nsf05526', 'nsf18521', 'nsf15524']","[0.8352867364883423, 0.8337405323982239, 0.8337012529373169, 0.8336358666419983, 0.8303273916244507, 0.8166402578353882, 0.8102844953536987, 0.8040816187858582, 0.8036887049674988, 0.8013514280319214]"
109,"McCants, Dale ","Instructor, Mechanical Engineering",Faculty,"['Dr . McCants research interests include nanofluids heat transfer mechanics , electronics thermal management , experimental and computational fluid dynamics with heat transfer .']","['https://www.nsf.gov/pubs/2020/nsf20501/nsf20501.htm', 'https://www.nsf.gov/pubs/2016/nsf16518/nsf16518.htm', 'https://www.nsf.gov/pubs/2019/nsf19525/nsf19525.htm', 'https://www.nsf.gov/pubs/2005/nsf05616/nsf05616.htm', 'https://www.nsf.gov/pubs/2018/nsf18521/nsf18521.htm', 'https://www.nsf.gov/pubs/2017/nsf17517/nsf17517.htm', 'https://www.nsf.gov/pubs/2020/nsf20500/nsf20500.htm', 'https://www.nsf.gov/pubs/2019/nsf19509/nsf19509.htm', 'https://www.nsf.gov/pubs/2018/nsf18514/nsf18514.htm', 'https://www.nsf.gov/pubs/2010/nsf10614/nsf10614.htm']",,,,,,,"['nsf20501', 'nsf16518', 'nsf19525', 'nsf05616', 'nsf18521', 'nsf17517', 'nsf20500', 'nsf19509', 'nsf18514', 'nsf10614']","[0.841015100479126, 0.8398971557617188, 0.8316938877105713, 0.8285249471664429, 0.8227702975273132, 0.8159452676773071, 0.8150593042373657, 0.8149141073226929, 0.8124737739562988, 0.80852872133255]"
110,"McNeill, Stephen ","Associate Professor, Mechanical Engineering",Faculty,"['Dr . McNeill s research and interests include computer vision , digital image correlation , microprocessors , experimental mechanics and reverse engineering .']","['https://www.nsf.gov/pubs/2003/nsf03602/nsf03602.htm', 'https://www.nsf.gov/pubs/2004/nsf04609/nsf04609.htm', 'https://www.nsf.gov/pubs/2015/nsf15574/nsf15574.htm', 'https://www.nsf.gov/pubs/2018/nsf18570/nsf18570.htm', 'https://www.nsf.gov/pubs/2017/nsf17572/nsf17572.htm', 'https://www.nsf.gov/pubs/2014/nsf14596/nsf14596.htm', 'https://www.nsf.gov/pubs/2016/nsf16581/nsf16581.htm', 'https://www.nsf.gov/pubs/2013/nsf13580/nsf13580.htm', 'https://www.nsf.gov/pubs/2005/nsf05629/nsf05629.htm', 'https://www.nsf.gov/pubs/2018/nsf18569/nsf18569.htm']",,,,,,,"['nsf03602', 'nsf04609', 'nsf15574', 'nsf18570', 'nsf17572', 'nsf14596', 'nsf16581', 'nsf13580', 'nsf05629', 'nsf18569']","[0.8616165518760681, 0.8230572938919067, 0.8217600584030151, 0.8217600584030151, 0.8217600584030151, 0.8217600584030151, 0.8217600584030151, 0.8178038597106934, 0.8072713613510132, 0.7989031672477722]"
111,"Meekins, Benjamin H.",Research Assistant Professor,Faculty,"['Solar energy, hydrogen generation, solid state electrochemistry, electrochemistry, photoelectrochemistry']","['https://www.nsf.gov/pubs/2008/nsf08598/nsf08598.htm', 'https://www.nsf.gov/pubs/2015/nsf15591/nsf15591.htm', 'https://www.nsf.gov/pubs/2006/nsf06576/nsf06576.htm', 'https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2008/nsf08513/nsf08513.htm', 'https://www.nsf.gov/pubs/2010/nsf10613/nsf10613.htm', 'https://www.nsf.gov/pubs/2009/nsf09604/nsf09604.htm', 'https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2007/nsf07556/nsf07556.htm']",Benjamin H. Meekins,"Research Assistant Professor, Univ. of South Carolina",voUtgfAAAAAJ,397,https://scholar.google.com/citations?view_op=medium_photo&user=voUtgfAAAAAJ,@mailbox.sc.edu,"['nsf08598', 'nsf15591', 'nsf06576', 'nsf10525', 'nsf08513', 'nsf10613', 'nsf09604', 'nsf02189', 'nsf07556']","[0.8279787302017212, 0.8232746720314026, 0.815151572227478, 0.814831018447876, 0.8124540448188782, 0.8092976808547974, 0.8092976808547974, 0.8036885261535645, 0.7962111830711365]"
112,"Mobli, Mostafa",Instructor,Faculty,"['Interested in numerical solutions to problems involving reactive flows and heat transfer . Focused on developing new numerical methods and applying previously developed methods to analyze a wide range of fluid flow and heat transfer applications . Specially focused on continuous methods to simulate phase change on a micro nano scale used in various cooling industries , and thermal analysis of glow discharge to show importance of an accurate temperature analysis in glow discharge simulations .']","['https://www.nsf.gov/pubs/2019/nsf19525/nsf19525.htm', 'https://www.nsf.gov/pubs/2020/nsf20501/nsf20501.htm', 'https://www.nsf.gov/pubs/2006/nsf06545/nsf06545.htm', 'https://www.nsf.gov/pubs/2016/nsf16518/nsf16518.htm', 'https://www.nsf.gov/pubs/2018/nsf18521/nsf18521.htm', 'https://www.nsf.gov/pubs/2017/nsf17517/nsf17517.htm', 'https://www.nsf.gov/pubs/2009/nsf09538/nsf09538.htm', 'https://www.nsf.gov/pubs/2020/nsf20560/nsf20560.htm', 'https://www.nsf.gov/pubs/2015/nsf15558/nsf15558.htm', 'https://www.nsf.gov/pubs/2013/nsf13531/nsf13531.htm']",,,,,,,"['nsf19525', 'nsf20501', 'nsf06545', 'nsf16518', 'nsf18521', 'nsf17517', 'nsf09538', 'nsf20560', 'nsf15558', 'nsf13531']","[0.8355320692062378, 0.8254172801971436, 0.8237481713294983, 0.8139700889587402, 0.8121955394744873, 0.8067587614059448, 0.8033558130264282, 0.7956979274749756, 0.7946053147315979, 0.7945111989974976]"
113,"Monnier, John R.","Professor, Chemical Engineering",Faculty,"['Swearingen Engineering CenterRoom 3C04301 Main StreetColumbia , SC 29208Ph . D . , University of Wisconsin Milwaukee , 1978M . S . , University of Wisconsin Milwaukee , 1972B . S . , St . Ambrose University , 1970My research group focuses on heterogeneous catalysis , ranging from rational catalyst design and synthesis to characterization and evaluation . Current interests are in the design and synthesis of novel bimetallic catalysts for the selective transformation of hydrocarbons to higher value chemicals and for higher output PEM fuel cells . Bimetallic catalysts afford great opportunities for changing performance , either by changing the catalyst surfaces into ensembles of catalytic sites that permit only selected reaction pathways , modifying the electronic properties of the catalytic surface sites , or by introducing bifunctionality to the active surface by placing different catalytic metals in contiguous proximity . Bimetallic catalyst synthesis is often carried out by either simultaneous co impregnation of both metal salts onto the catalyst support or by successive steps of metal salt addition . For either of these preparative methods , it is virtually impossible to ensure formation of only bimetallic particles rather , formation of separate metallic particles of both metals can and does occur . Thus , it is very difficult to characterize such catalytic systems , and even more difficult to correlate catalyst performance with bimetallic catalyst composition . Our laboratory uses electroless deposition ED , whereby a controlled chemical reaction is used to deposit a metal salt onto a catalytic metal site that has been activated by a reducing agent . The process may be either catalytic deposition of the metal salt metal A from solution onto the pre existing metal metal B on the support or autocatalytic deposition of the metal salt metal A onto the just reduced , deposited metal metal A , depending on the nature of the activated metal site and the reducing agent . In principle , ED should result in the selective deposition of the secondary metal onto a metallic surface with no formation of isolated crystallites of the secondary metal on the catalyst support . Perhaps most importantly , ED is an industrially relevant process that can be applied to a wide range of metals . We have prepared a large number of bimetallic catalysts using electroless deposition . Those supported on carbon , such as Pt Co , Pt Pd , and Pt Rh have been tested as electrocatalysts for PEM fuel cells , while silica supported compositions such as Ag Pt , Au Pd , and Cu Pd have been evaluated for traditional catalytic reactions such as selective epoxidation of olefins , selective oxidation of biomass molecules such as glycerol , and selective hydrogenation of multi functional olefins . Reactions are conducted in either automated , single pass plug flow reactors six in all or two high pressure batch or stirred tank reactors . Our research projects are currently funded by NSF , DOE , and several industrial companies .']","['https://www.nsf.gov/pubs/2017/nsf17580/nsf17580.htm', 'https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm', 'https://www.nsf.gov/pubs/2008/nsf08599/nsf08599.htm', 'https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm', 'https://www.nsf.gov/pubs/2012/nsf12593/nsf12593.htm', 'https://www.nsf.gov/pubs/2019/nsf19577/nsf19577.htm', 'https://www.nsf.gov/pubs/2020/nsf20577/nsf20577.htm', 'https://www.nsf.gov/pubs/2017/nsf17517/nsf17517.htm', 'https://www.nsf.gov/pubs/2018/nsf18525/nsf18525.htm', 'https://www.nsf.gov/pubs/2020/nsf20501/nsf20501.htm']",,,,,,,"['nsf17580', 'nsf20589', 'nsf08599', 'nsf20588', 'nsf12593', 'nsf19577', 'nsf20577', 'nsf17517', 'nsf18525', 'nsf20501']","[0.7636818289756775, 0.763273298740387, 0.7601834535598755, 0.7573055624961853, 0.7565468549728394, 0.7456166744232178, 0.7456166744232178, 0.743685245513916, 0.7403907179832458, 0.7396050691604614]"
114,"Morehouse, Jeff ",Associate Professor Emeritus,Faculty,"['Dr . Morehouse and his students have investigated a broad range of thermodynamic heat engine applications , ranging from space based fuel cell power systems to ground coupled heat pumps to phase change storage systems . Dr . Morehouse has long been associated with solar energy system design and analysis and is currently involved in a conventional HVAC control project and with evaporative system applications in humid climates .']","['https://www.nsf.gov/pubs/2010/nsf10549/nsf10549.htm', 'https://www.nsf.gov/pubs/2013/nsf13564/nsf13564.htm', 'https://www.nsf.gov/pubs/2008/nsf08598/nsf08598.htm', 'https://www.nsf.gov/pubs/2017/nsf17517/nsf17517.htm', 'https://www.nsf.gov/pubs/2019/nsf19525/nsf19525.htm', 'https://www.nsf.gov/pubs/2010/nsf10613/nsf10613.htm', 'https://www.nsf.gov/pubs/2009/nsf09604/nsf09604.htm', 'https://www.nsf.gov/pubs/2009/nsf09606/nsf09606.htm', 'https://www.nsf.gov/pubs/2020/nsf20501/nsf20501.htm', 'https://www.nsf.gov/pubs/2016/nsf16518/nsf16518.htm']",,,,,,,"['nsf10549', 'nsf13564', 'nsf08598', 'nsf17517', 'nsf19525', 'nsf10613', 'nsf09604', 'nsf09606', 'nsf20501', 'nsf16518']","[0.8309407830238342, 0.8056052327156067, 0.8008769154548645, 0.7992956042289734, 0.7924893498420715, 0.7908841967582703, 0.7908841967582703, 0.7711624503135681, 0.7648683786392212, 0.7632540464401245]"
115,"Moss, Melissa Ann",Department Chair of Chemical Engineering,Faculty,"['Swearingen301 Main StreetRoom 3C15Columbia , SC 29208Professor Moss s research focuses on the involvement of protein aggregation in Alzheimer s disease . One hallmark of Alzheimer s disease is the senile plaques that accumulate in the brain where they are associated with neuronal loss and in the cerebrovasculature where they may perpetuate stoke . These plaques are composed primarily of the amyloid protein A . A aggregates into fibrils that deposit to yield plaques . Consequently , inhibition of A aggregation has emerged as one therapeutic approach for Alzheimer s disease . The focus of our research is to understand this aggregation process and to identify and characterize inhibitors that attenuate A aggregation . We utilize a myriad of biophysical techniques including chromatography , fluorescence spectroscopy , static and dynamic light scattering , Western blotting , dot blotting , electron microscopy , and atomic force microscopy . Furthermore , we seek to determine how various A aggregation products affect both neuronal and vascular cells . In particular , we are interested in Ab stimulation of neuronal apoptosis and endothelial inflammatory responses , including NF kB activation . Correlating changes in Ab aggregation with cellular effects will assist research efforts to design effective therapeutic agents for Alzheimer s disease therapy .']","['https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2011/nsf11545/nsf11545.htm', 'https://www.nsf.gov/pubs/2016/nsf16569/nsf16569.htm', 'https://www.nsf.gov/pubs/2008/nsf08513/nsf08513.htm', 'https://www.nsf.gov/pubs/2007/nsf07556/nsf07556.htm', 'https://www.nsf.gov/pubs/2003/nsf03560/nsf03560.htm', 'https://www.nsf.gov/pubs/2011/nsf11523/nsf11523.htm', 'https://www.nsf.gov/pubs/2006/nsf06566/nsf06566.htm', 'https://www.nsf.gov/pubs/2011/nsf11505/nsf11505.htm', 'https://www.nsf.gov/pubs/2018/nsf18585/nsf18585.htm']",,,,,,,"['nsf10525', 'nsf11545', 'nsf16569', 'nsf08513', 'nsf07556', 'nsf03560', 'nsf11523', 'nsf06566', 'nsf11505', 'nsf18585']","[0.7635272741317749, 0.7504358291625977, 0.7403138875961304, 0.7388961315155029, 0.7365684509277344, 0.734367847442627, 0.7341623306274414, 0.7265377044677734, 0.7265328168869019, 0.7258269190788269]"
116,"Mullen, Robert L",Professor,Faculty,"['Room C118300 Main St . Columbia , SC 29208T Tr 1 00 pm 2 00 pm']","['https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2004/nsf04538/nsf04538.htm', 'https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2013/nsf13580/nsf13580.htm', 'https://www.nsf.gov/pubs/2010/nsf10571/nsf10571.htm', 'https://www.nsf.gov/pubs/2009/nsf09557/nsf09557.htm', 'https://www.nsf.gov/pubs/2011/nsf11556/nsf11556.htm', 'https://www.nsf.gov/pubs/2015/nsf15574/nsf15574.htm', 'https://www.nsf.gov/pubs/2016/nsf16581/nsf16581.htm']",,,,,,,"['nsf02189', 'nsf04538', 'nsf10525', 'nsf13580', 'nsf10571', 'nsf09557', 'nsf11556', 'nsf15574', 'nsf16581']","[0.860436201095581, 0.8273346424102783, 0.8225352764129639, 0.8191715478897095, 0.8187545537948608, 0.8163533806800842, 0.8163533806800842, 0.8163533806800842, 0.8157927989959717]"
117,"Mustain, William E","Professor, Chemical Engineering",Faculty,"['Electrocatalysis, Batteries, Synthesis, Electrochemical Engineering']","['https://www.nsf.gov/pubs/2010/nsf10525/nsf10525.htm', 'https://www.nsf.gov/pubs/2008/nsf08513/nsf08513.htm', 'https://www.nsf.gov/pubs/2010/nsf10614/nsf10614.htm', 'https://www.nsf.gov/pubs/2007/nsf07556/nsf07556.htm', 'https://www.nsf.gov/pubs/2011/nsf11523/nsf11523.htm', 'https://www.nsf.gov/pubs/2020/nsf20511/nsf20511.htm', 'https://www.nsf.gov/pubs/2013/nsf13510/nsf13510.htm', 'https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2004/nsf04514/nsf04514.htm', 'https://www.nsf.gov/pubs/2017/nsf17589/nsf17589.htm']",William E. Mustain,University of South Carolina,bJrvj70AAAAJ,6285,https://scholar.google.com/citations?view_op=medium_photo&user=bJrvj70AAAAJ,@mailbox.sc.edu,"['nsf10525', 'nsf08513', 'nsf10614', 'nsf07556', 'nsf11523', 'nsf20511', 'nsf13510', 'nsf02189', 'nsf04514', 'nsf17589']","[0.8185580372810364, 0.8162626028060913, 0.8130547404289246, 0.7993624806404114, 0.7948290705680847, 0.7946742177009583, 0.7938175201416016, 0.792479932308197, 0.7901508808135986, 0.7900595664978027]"
118,"Nelakuditi, Srihari","Professor, Computer Science & Engineering",Faculty,"['Computer Networking, Wireless Networking, Mobile Computing']","['https://www.nsf.gov/pubs/2018/nsf18569/nsf18569.htm', 'https://www.nsf.gov/pubs/2004/nsf04540/nsf04540.htm', 'https://www.nsf.gov/pubs/2005/nsf05505/nsf05505.htm', 'https://www.nsf.gov/pubs/2019/nsf19589/nsf19589.htm', 'https://www.nsf.gov/pubs/2008/nsf08524/nsf08524.htm', 'https://www.nsf.gov/pubs/2006/nsf06516/nsf06516.htm', 'https://www.nsf.gov/pubs/2004/nsf04520/nsf04520.htm', 'https://www.nsf.gov/pubs/2013/nsf13574/nsf13574.htm', 'https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm', 'https://www.nsf.gov/pubs/2011/nsf11570/nsf11570.htm']",Srihari Nelakuditi,University of South Carolina,wEaHHWIAAAAJ,4256,https://scholar.google.com/citations?view_op=medium_photo&user=wEaHHWIAAAAJ,@cse.sc.edu,"['nsf18569', 'nsf04540', 'nsf05505', 'nsf19589', 'nsf08524', 'nsf06516', 'nsf04520', 'nsf13574', 'nsf20591', 'nsf11570']","[0.8677811026573181, 0.8659051656723022, 0.8651286363601685, 0.8492136001586914, 0.8469371199607849, 0.846367359161377, 0.8421661853790283, 0.8417621850967407, 0.8408877849578857, 0.836833655834198]"
119,"Nezhad, Cyrus Riahi",Senior Instructor,Faculty,"['300 Main Street Room A 113Columbia , SC , 29208Dr . Riahi Nezhad s broad areas of specialization are based on innovative combinations of fluid mechanics , separation science , and heterogeneous catalysis . These include 1 Separations enhanced by electric fields including electro mixing , drop electro coalescence with applications in biofuel production , radioactive waste treatment , and tannery waste water treatment , 2 High liquid flow in packed towers for optimal gas liquid phase interaction , 3 Synthesis and characterization of mesoporous heterogeneous catalysts for oxidative destruction of volatile organic compounds with applications in automotive exhaust emission control , 4 Application of nano catalysts for hydrogen production using water gas shift reaction , 5 Gas engine driven air conditioning GEDAC for heating and cooling , 6 Hydraulic and fluid mechanics utilizing experimental and numerical analyses with applications that include flow through a breached levee and during levee closure .']","['https://www.nsf.gov/pubs/2019/nsf19525/nsf19525.htm', 'https://www.nsf.gov/pubs/2020/nsf20501/nsf20501.htm', 'https://www.nsf.gov/pubs/2016/nsf16518/nsf16518.htm', 'https://www.nsf.gov/pubs/2017/nsf17517/nsf17517.htm', 'https://www.nsf.gov/pubs/2018/nsf18521/nsf18521.htm', 'https://www.nsf.gov/pubs/2019/nsf19509/nsf19509.htm', 'https://www.nsf.gov/pubs/2020/nsf20500/nsf20500.htm', 'https://www.nsf.gov/pubs/2018/nsf18525/nsf18525.htm', 'https://www.nsf.gov/pubs/2008/nsf08599/nsf08599.htm', 'https://www.nsf.gov/pubs/2018/nsf18514/nsf18514.htm']",,,,,,,"['nsf19525', 'nsf20501', 'nsf16518', 'nsf17517', 'nsf18521', 'nsf19509', 'nsf20500', 'nsf18525', 'nsf08599', 'nsf18514']","[0.8729414343833923, 0.8728333711624146, 0.8669046759605408, 0.8628814220428467, 0.8588851690292358, 0.8243476152420044, 0.8236308097839355, 0.8177672028541565, 0.806733250617981, 0.8015102744102478]"
