id,names,descriptions,titles,research,background,keywords,links,gs_names,affiliation,scholar_id,cited_by,url_pic,email_domain
95,"Gholizadeh, Sona",Research Assistant Professor,Faculty,"['Engineering Education, Higher Education, Systems Analysis'],['Ph . D . Science Education , University of Central Florida UCF , 2017M . S . Industrial Engineering , Sharif University of Technology , 2010B . Sc . Civil Engineering , University of Tabriz , 2004Integrating Scholarships , Academic Assistance , Professional Development , and Wellness to Increase Undergraduate Retention in Engineering and Computing , NSF , Role Co PI , 998 , 243 . 00 , 6 1 2020 5 31 2025Google Scholar']",,"[""engineering"",""university"",""technology"",""academic"",""professional""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/gholizadeh_sona.php,Sona Gholizadeh,University of South Carolina,1Q-cOnwAAAAJ,75.0,https://scholar.google.com/citations?view_op=medium_photo&user=1Q-cOnwAAAAJ,@cec.sc.edu
96,"Gibbons, Joseph H.","Distinguished Professor Emeritus, Chemical Engineering",Staff,"['Ph . D . , University of Pittsburgh , 1961M . S . , University of Pittsburgh , 1958B . S . , University of South Carolina , 1956']",,"[""university"",""pittsburgh"",""south"",""carolina""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/gibbonsjoe.php,,,,,,
98,"Ginn, Herbert L.",Professor,Faculty,"['SwearingenRoom 3A30 301 Main Street Columbia , SC 29208University of South CarolinaMississippi State University']",,"[""state"",""swearingenroom"",""university"",""carolinamississippi"",""columbia"",""street"",""south""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/ginnherbert.php,,,,,,
99,"Giurgiutiu (Jurjutzu), Victor","Professor, Mechanical Engineering",Faculty,"['Dr . Giurgiutiu s research interests span active materials , smart structures , structural health monitoring , mechatronics , and other multi physics applied mechanics topics . Dr . Giurgiutiu has published several books and book chapters and many journal articles and conference papers . He is Fellow of the Royal Aeronautical Society RAeS and of the American Society of Mechanical Engineers ASME . He is Associate Editor of the Aeronautical Journal of RAeS .']","Dr. Giurgiutiu's research interests span active materials, smart structures, structural
                                    health monitoring, mechatronics, and other multi-physics applied mechanics topics.
                                    Dr. Giurgiutiu has published several books and book chapters and many journal articles
                                    and conference papers. He is Fellow of the Royal Aeronautical Society (RAeS) and of
                                    the American Society of Mechanical Engineers (ASME). He is Associate Editor of the
                                    Aeronautical Journal of RAeS.","[""journal"",""society"",""raes"",""aeronautical"",""giurgiutiu""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/giurgiutiu_victor.php,,,,,,
100,"Glenn Jr., Odell",Instructor,Faculty,"['Fundamental Aspects of a Novel Technology for Abatement of Allergenic Proteins involved the development of an approach to potentially reduce the potency of asthma triggers produced in an indoor environment . Allergens are bound to dry dust particles in a home . The effectiveness of using dry ice , essential oils with CO2 through CFD modeling and an ELISA assay was investigated . My present passion is S . T . E . M education along with engineering education research . Investigating new and unique ways to teach undergraduates core fundamentals is key to both myself as an educator and to the student .']",,"[""dry"",""education"",""investigating"",""technology"",""modeling""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/odellglenn.php,,,,,,
101,"Goharian, Erfan",Assistant Professor,Faculty,"['Integrated Water Resources Management, System Analysis, Hydroinformatics'],['Dr . Erfan Goharian s research focuses on water resources systems analysis and integrated management of water resources . He develops complex quantitative and computational models with the purpose of providing enhanced knowledge needed to better understand interactions in coupled human natural systems and water energy food nexus , and how they are shaped by climate , environmental , economic , social and political changes . Before joining University of South Carolina , he was leading the research on re operation of integrated water systems in California as a part of University of California Water Security and Sustainability Research Initiative UC Water . Dr . Goharian holds a Ph . D . degree in Civil and Environmental Engineering with emphasize on Water Resources Management from the University of Utah . Beyond his technical background , he has experience working in collaborations across institutions and disciplinary boundaries . Post doctoral , Water Resources , University of California , Davis , CA , 2016 2018Ph . D . , Civil and Environmental Engineering , University of Utah , Salt Lake City , UT , 2015']","Dr. Erfan Goharian’s research focuses on water resources systems analysis and integrated
                                 management of water resources. He develops complex quantitative and computational
                                 models with the purpose of providing enhanced knowledge needed to better understand
                                 interactions in coupled human-natural systems and water-energy-food nexus, and how
                                 they are shaped by climate, environmental, economic, social and political changes.
                                 Before joining University of South Carolina, he was leading the research on re-operation
                                 of integrated water systems in California as a part of University of California Water
                                 Security and Sustainability Research Initiative (UC Water). Dr. Goharian holds a Ph.D.
                                 degree in Civil and Environmental Engineering with emphasize on Water Resources Management
                                 from the University of Utah. Beyond his technical background, he has experience working
                                 in collaborations across institutions and disciplinary boundaries.
                              ","[""water"",""university"",""resources""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/goharian.php,Erfan Goharian,"Assistant Professor, Civil and Environmental Engineering, University of South Carolina",JjCXBEkAAAAJ,678.0,https://scholar.google.com/citations?view_op=medium_photo&user=JjCXBEkAAAAJ,@cec.sc.edu
103,"Gower, R. Michael","Assistant Professor, Chemical Engineering, Biomedical Engineering",Faculty,"['immunoengineering, Biomaterials'],['Swearingen Engineering CenterRoom 2C21301 Main StreetColumbia , SC 29108Our research focuses on understanding the immune system in order to develop bio instructive materials that stimulate specific immune responses . We aim to control immune cell migration to synthetic microenvironments that are engineered to program and expand regulatory immune cells as a therapeutic tool for inflammatory disease . This research utilizes controlled release of proteins , peptides , and small molecules via a biomaterial to direct regulatory immune cell differentiation , as characterized by epigenetic modification to DNA , transcriptional programs , protein expression , and immunosuppressive function . We employ these technologies in animal disease models with the long term goal of developing translational therapies for atherosclerosis , diabetes , and cancer . Liu JM , Zhang J , Zhang X , Hlavaty KA , Ricci CF , Leonard JN , Shea LD , and Gower RM . Transforming growth factor beta 1 delivery from microporous scaffolds decreases inflammation post implant and enhances function of transplanted islets . Biomaterials Feb 80 11 9 , 2016 .']",,"[""immune"",""zhang"",""cell"",""regulatory"",""research"",""disease""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/gowermichael.php,Robert Michael Gower,"Assistant Professor of Chemical Engineering, University of South Carolina",p8feWNsAAAAJ,1170.0,https://scholar.google.com/citations?view_op=medium_photo&user=p8feWNsAAAAJ,@mailbox.sc.edu
105,"Gray, Joshua",Instructor,Faculty,"['Experienced engineer with a diverse background ranging from educational instruction and mentoring roles , extensive experience in research and development environments , entrepreneurial start ups and community based non profit social work . Educational roles range from experience as a teaching assistant in graduate school chemical engineering laboratories , serving as a mentor and thesis committee member as an adjunct professor while working in the national laboratory system , and serving as a laboratory manager and instructor in the chemistry department at a state supported liberal arts university . R D experience primarily involves the application of electrochemical engineering to localized corrosion and sustainable energy applications . I have worked in such areas as materials compatibility and corrosion susceptibility of high temperature heat transfer fluids for solar energy , hydrogen storage and fuel cell applications , the development of alternative separations processes for used nuclear fuel , and battery component research and characterization . I participated in several start ups in the areas of fuel cell and hydrogen storage technologies , and am currently a co founder of a 501 c 3 nonprofit in the area of recovery from substance use disorder .']","Experienced engineer with a diverse background ranging from educational instruction
                                 and mentoring roles, extensive experience in research and development environments,
                                 entrepreneurial start-ups and community-based non-profit social work. Educational
                                 roles range from experience as a teaching assistant in graduate school chemical engineering
                                 laboratories, serving as a mentor and thesis committee member as an adjunct professor
                                 while working in the national laboratory system, and serving as a laboratory manager
                                 and instructor in the chemistry department at a state-supported liberal arts university.
                                 R&D experience primarily involves the application of electrochemical engineering to
                                 localized corrosion and sustainable energy applications. I have worked in such areas
                                 as materials compatibility and corrosion susceptibility of high temperature heat transfer
                                 fluids for solar energy, hydrogen storage and fuel cell applications, the development
                                 of alternative separations processes for used nuclear fuel, and battery component
                                 research and characterization. I participated in several start-ups in the areas of
                                 fuel cell and hydrogen storage technologies, and am currently a co-founder of a 501(c)(3)
                                 nonprofit in the area of recovery from substance use disorder.
                              ","[""experience"",""fuel"",""energy"",""engineering"",""corrosion""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/gray_joshua.php,,,,,,
107,"Gross, Andrew J.",Assistant Professor,Faculty,"['Dr . Gross research interests center on the mechanical properties of materials . This includes the design , fabrication , and characterization of architected materials , especially those with nanoscale constituents as well as the use of full field experimental data for the calibration of material models .']","Dr. Gross' research interests center on the mechanical properties of materials. This
                                 includes the design, fabrication, and characterization of architected materials, especially
                                 those with nanoscale constituents; as well as the use of full field experimental data
                                 for the calibration of material models.
                              ","[""includes"",""fabrication"",""materials"",""data"",""interests"",""material""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/andrewgross.php,,,,,,
108,"Gumina, Sharon",Instructor,Faculty,"['Innovation Center 550 Assembly Street , Suite 1300 Office 1317 Columbia , SC 29208Over 30 years experience as a developer , analyst , and educator in Information Technology . Cisco Academy Instructor in Cyber Security Operations and Routing and Switching CCNA 1 through CCNA 3 , version 7 . Developer using various tools including SQL Developer for Oracle and Visual Studio . Palo Alto Networks Authorized Cybersecurity Academy Instructor .']","Over 30 years experience as a developer, analyst, and educator in Information Technology.
                                 Cisco Academy Instructor in Cyber Security Operations and Routing and Switching CCNA-1
                                 through CCNA-3, version 7. Developer using various tools including SQL Developer for
                                 Oracle and Visual Studio. Palo Alto Networks Authorized Cybersecurity Academy Instructor.
                              ","[""developer"",""academy"",""instructor""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/gumina_sharon.php,,,,,,
109,"Gürdal, Zafer ",Professor of Mechanical Engineering,Faculty,"['Structural and Multidisciplinary Design …'],['Dr . G rdal s research interests are in structural and multidisciplinary design and optimization , design and optimization of composite materials and structures , and computational methods for design with manufacturing emphasis . His research has largely been funded by NASA Langley Research Center and Air Force Office of Scientific Research AFOSR in the US , and EU Research Frame work programs in Europe . He was one of the investigators of the NASA Virginia Tech Composites program during his tenure at Virginia Tech . He was the principal investigator and co investigator of more than 60 research grants , majority of which on methodologies for composite laminate design and novel structural configurations , as well as experimental verification of composites structures research . The funding sources for his research included ALCOA , Lockheed Martin , Newport News Ship Building , Boeing Helicopters , Commercial , and Defense , McDonnell Douglas , Sikorsky Aircraft , Ford Motor Company , Fokker Aerostructures . His research cooperation in Europe included DLR , NLR , ONERA , CIRA , EADS , Dassault Aviation , Airbus , Allenia , Rolls Royce , Astrium , Dutch Space , Piaggio , and Israel Aircraft Industries . He also worked with a number of small companies , and is one of the founders of a small business in Blacksburg Virginia , and one in the Netherlands . Prof . G rdal s research contributions resulted nearly 300 publications . He was a key note plenary speaker for 14 international conferences , co authored of 3 books , and taught several AIAA Professional Development Short courses . He served as the graduate thesis advisor for more than 60 masters and 30 doctoral students . He is a Lifetime member and Associate Fellow of the American Institute of Aeronautics and Astronautics AIAA , and one of the initial members of the AIAA Multidisciplinary Technical Committee MDO TC .']","Dr. Gürdal’s research interests are in structural and multidisciplinary design and
                                    optimization, design and optimization of composite materials and structures, and computational
                                    methods for design with manufacturing emphasis. His research has largely been funded
                                    by NASA Langley Research Center and Air Force Office of Scientific Research (AFOSR)
                                    in the US, and EU Research Frame work programs in Europe. He was one of the investigators
                                    of the NASA – Virginia Tech Composites program during his tenure at Virginia Tech.
                                    He was the principal investigator and co-investigator of more than 60 research grants,
                                    majority of which on methodologies for composite laminate design and novel structural
                                    configurations, as well as experimental verification of composites structures research.
                                    The funding sources for his research included ALCOA, Lockheed Martin, Newport News
                                    Ship Building, Boeing (Helicopters, Commercial, and Defense), McDonnell Douglas, Sikorsky
                                    Aircraft, Ford Motor Company, Fokker Aerostructures. His research cooperation in Europe
                                    included DLR, NLR, ONERA, CIRA, EADS, Dassault Aviation, Airbus, Allenia, Rolls Royce,
                                    Astrium, Dutch Space, Piaggio, and Israel Aircraft Industries. He also worked with
                                    a number of small companies, and is one of the founders of a small business in Blacksburg
                                    Virginia, and one in the Netherlands. Prof. Gürdal’s research contributions resulted
                                    nearly 300 publications. He was a key-note/plenary speaker for 14 international conferences,
                                    co-authored of 3 books, and taught several AIAA Professional Development Short courses.
                                    He served as the graduate thesis advisor for more than 60 masters and 30 doctoral
                                    students. He is a Lifetime member and Associate Fellow of the American Institute of
                                    Aeronautics and Astronautics (AIAA), and one of the initial members of the AIAA Multidisciplinary
                                    Technical Committee (MDO-TC).","[""research"",""one"",""design""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/gurdal_zafer.php,Zafer Gurdal,"McNAIR Center, University of South Carolina",PwmXgWoAAAAJ,15497.0,https://scholar.google.com/citations?view_op=medium_photo&user=PwmXgWoAAAAJ,@cec.sc.edu
111,"Haj-Hariri, Hossein ",Dean,Faculty,"['fluid mechanics, thermal management, applied mathematics'],['Professor Hossein Haj Hariri is a USC Educational Foundation Distinguished Professor , and Dean of the College of Engineering and Computing at the University of South Carolina , which he joined in January of 2016 . For the prior 27 years he was on the faculty of Mechanical and Aerospace Engineering at the University of Virginia , where he was chair from 2005 through 2015 . He was also concurrently the associate vice president for research in 2014 2015 , and the co Director of the K 12 Engineering Design Laboratory since 2013 . He holds a Ph . D . and S . M . in Mechanical Engineering in Applied Mechanics , and also an S . B . in Civil Engineering , all from MIT . Through his research efforts , Professor Haj Hariri has guided more than 35 research scientists , postdocs , and graduate students , as well as over 50 undergraduate students in their research , and published over 100 research papers , through over 30M of sponsored research funding . Dr . Haj Hariri s area of research has spanned a broad subset of computational and theoretical applied mechanics theoretical aero acoustics , hydrodynamic stability , linear and nonlinear waves , singular perturbations , microgravity fluid mechanics , interfacial phenomena , fluid solid interactions , fluid mechanics of swimming , and passive thermal management . He holds several patents in the area of thermal management , and carbon fiber composites .']","Professor Hossein Haj-Hariri is a USC Educational Foundation Distinguished Professor,
                                 and Dean of the College of Engineering and Computing at the University of South Carolina,
                                 which he joined in January of 2016. For the prior 27 years he was on the faculty of
                                 Mechanical and Aerospace Engineering at the University of Virginia, where he was chair
                                 from 2005 through 2015.  He was also concurrently the associate vice president for
                                 research in 2014-2015, and the co-Director of the K-12 Engineering Design Laboratory
                                 since 2013.  He holds a Ph.D. and S.M. in Mechanical Engineering (in Applied Mechanics),
                                 and also an S.B. in Civil Engineering, all from MIT.
                              ","[""engineering"",""research"",""mechanics"",""university""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/hajhariri.php,Hossein Haj-Hariri,"Dean of Engineering and Computing, University of South Carolina",9lKid0sAAAAJ,1856.0,https://scholar.google.com/citations?view_op=medium_photo&user=9lKid0sAAAAJ,@sc.edu
115,"Harik, Ramy","Associate Professor, Mechanical Engineering",Faculty,"['Dr . Harik , a Fulbright Scholar , is a faculty member in the Department of Mechanical Engineering at the University of South Carolina and a resident researcher at the McNAIR Center for Aerospace Innovation and Research . He is currently a visiting Research Scientist at NASA Langley , conducting research in Automated Fiber Placement . His education joins Mechanical Engineering Masters of Science , Automated Manufacturing Engineering Technology Masters of Science and Industrial Mechanical Engineering Doctor of Philosophy . He mainly teaches courses in Computer Aided Design CAD , Manufacturing and Computer Aided Manufacturing CAM . Dr Harik is an Associate Editor of the Computer Aided Design Applications international journal . He has more than 3 million USD in funding from Boeing , NASA , SC Department of Commerce , Fokker Aerostructures , Dassault Aviation funded as a student and several other agencies . He is the recipient of the 2016 Outstanding Young Educator Award from Pi Tau Sigma Honor Society at the University of South Carolina . Dr . Harik is the chair of ACE 15 , ACE 16 and ACE 17 Technical Symposiums South Carolina Aerospace Conference and Exhibition and was the chair of the PLM 16 International Conference held in Columbia , South Carolina . Dr . Harik s textbook for Manufacturing Education featuring both traditional and emergent manufacturing topics .']","Dr. Harik, a Fulbright Scholar, is a faculty member in the Department of Mechanical
                                 Engineering at the University of South Carolina and a resident researcher at the McNAIR
                                 Center for Aerospace Innovation and Research. He is currently a visiting Research
                                 Scientist at NASA Langley, conducting research in Automated Fiber Placement. His education
                                 joins Mechanical Engineering (Masters of Science), Automated Manufacturing Engineering
                                 Technology (Masters of Science) and Industrial/Mechanical Engineering (Doctor of Philosophy).
                                 He mainly teaches courses in Computer Aided Design (CAD), Manufacturing and Computer
                                 Aided Manufacturing (CAM). Dr Harik is an Associate Editor of the Computer Aided Design
                                 & Applications international journal. He has more than 3 million USD in funding from
                                 Boeing, NASA, SC Department of Commerce, Fokker Aerostructures, Dassault Aviation
                                 (funded as a student) and several other agencies. He is the recipient of the 2016
                                 Outstanding Young Educator Award from Pi Tau Sigma Honor Society at the University
                                 of South Carolina. Dr. Harik is the chair of ACE’15, ACE’16 and ACE’17 Technical Symposiums
                                 (South Carolina Aerospace Conference and Exhibition) and was the chair of the PLM’16
                                 International Conference held in Columbia, South Carolina.
                              ","[""south"",""manufacturing"",""carolina"",""harik"",""engineering"",""aided""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/harik_ramy.php,,,,,,
117,"Henrich, Silke","Undergraduate Director, Biomedical Engineering",Faculty,['Biomedical Engineering1200 Catawba StRoom 202'],,"[""stroom"",""biomedical"",""catawba"",""engineering""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/henrich.php,,,,,,
118,"Heyden, Andreas","Director of Graduate Studies, Chemical Engineering",Faculty,"['Computational Catalysis, Multiscale Modeling, Biomass Catalysis, Electro-Catalysis, Uncertainty Quantification'],['CV of Dr . HeydenPh . D . , Hamburg University of Technology , 2005Diplom , Hamburg University of Technology , 2000']",,"[""technology"",""university"",""hamburg""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/heydenandreas.php,Andreas Heyden,"Professor of Chemical Engineering, University of South Carolina",DpefkU4AAAAJ,7417.0,https://scholar.google.com/citations?view_op=medium_photo&user=DpefkU4AAAAJ,@cec.sc.edu
121,"Hikmet, Neset",Professor,Faculty,"['Health Information Technology, Health Informatics, Information Systems'],['Innovation Center550 Assembly Street , Suite 1300Office 1307Columbia , SC 29208Ph . D . , Management Science and Information Systems , University of Rhode IslandM . B . A . , Business Administration , University of Rhode IslandB . S . , Civil Engineering , Middle East Technical UniversityDr . Ne et Hikmet is heavily involved in research and health sector related activities . During 2005 to 2008 , he served as the founding member and the director of the Center for Research in Healthcare Systems and Policies CRHSP at the University of South Florida , funded by Health Resources Service Administration Grant No . D1DHP04118 01 00 . The center conducted operations research to identify and investigate key strategic issues affecting health care delivery systems . During 2006 2007 , he served as a member of the workgroup that provided recommendations regarding privacy and security practices affecting interoperable health information exchange to the Florida Governor s Health Information Infrastructure , Privacy and Security Project . During his tenure in Turkey , 2010 2012 , Dr . Hikmet chaired the work group on the future of Health Facilities in Turkey and is one of the authors of Republic of Turkey s 2013 2023 Heath Transformation Action Plan .']","Ph.D., Management Science and Information Systems, University of Rhode IslandM.B.A., Business Administration, University of Rhode IslandB.S., Civil Engineering, Middle East Technical University
                              ","[""university"",""health"",""information"",""rhode"",""systems""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/hikmet_neset.php,"Neset Hikmet, Ph.D.","College of Engineering and Computing, University of South Carolina",3DwchWAAAAAJ,2362.0,https://scholar.google.com/citations?view_op=medium_photo&user=3DwchWAAAAAJ,@cec.sc.edu
123,"Hoque, Shamia",Associate Professor,Faculty,"['Metamodel, Healthy buildings, Sustainable technology, Transportation and Environment'],['Dr . Hoque s research interests are on the development and application of mathematical models for fluid flow , pathogen dispersion and decontamination in the environmental system with the objective of informing risk assessors and first responders . Her research goal is to establish predictive integrated frameworks through coupling detailed models , statistical methods and risk analysis for providing a priori information and design tools for a more sustainable and resilient urban and built environment . Recent studies have involved multi physics modeling applying computational fluid dynamics analysis for predicting bioaerosol transport and inactivation in indoor areas through neural networks and modeling and assessing health impacts of nano additives in fuels in urban environment .']",,"[""research"",""environment"",""analysis"",""risk"",""fluid""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/hoque_shamia.php,Shamia Hoque,University of South Carolina,P-hFTxUAAAAJ,229.0,https://scholar.google.com/citations?view_op=medium_photo&user=P-hFTxUAAAAJ,@cec.sc.edu
125,"Hu, Jianjun","Associate Professor, Graduate Recruiting Coordinator, Computer Science & Engineering",Faculty,"['Deep learning, machine learning, materials informatics, bioinformatics, evolutionary computation'],['Lab homepage http mleg . cse . sc . eduDr . Hu s research interests are in the areas of machine learning , deep learning , data mining , big data , evolutionary computation and their applications in bioinformatics , material informatics , and health informatics . His research has been sponsored by NSF , NIH , Nvidia , and the South Carolina Department of Transportation . Currently , his major research focus is developing deep learning algotrithms for solving challenging application problems such as']","
Postdoc., University of Southern California (2005-2007)
Postdoc., Purdue University (2004-2005)
Ph. D., Michigan State University (2004)
B. S., Wuhan University of Technology (1995) 
","[""university"",""research"",""learning"",""data""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/jianjunhu.php,Jianjun Hu,University of South Carolina,_iD3nyMAAAAJ,2914.0,https://scholar.google.com/citations?view_op=medium_photo&user=_iD3nyMAAAAJ,@cse.sc.edu
126,"Hu, Ming",Associate Professor,Faculty,"['Dr . Hu s research interests include modeling and simulation of micro nano scale thermal transport in novel energy systems , in particular low dimensional materials and nanostructures , and energy nanotechnology , interfacial heat transfer for advanced thermal management , and multi scale and multiphysics modeling of complex energy transport process . Full list of publications']",,"[""energy"",""transport"",""thermal"",""scale"",""modeling""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/minghu.php,,,,,,
127,"Huang, Chin-Tser","Professor, Computer Science & Engineering",Faculty,"['Network Security, Network Protocol Design and Verification, Distributed Systems'],['Professor Huang s research interests include network security , network protocol design and verification , and distributed systems . His current research focuses on intrusion detection and wireless network security .']","
 Ph. D., University of Texas at Austin (2003)
M. S., University of Texas at Austin (1998)
B. S., Nation Taiwan University (1993) 
","[""texas"",""university"",""network"",""research""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/chintserhuang.php,Chin-Tser Huang,"Professor of Computer Science and Engineering, University of South Carolina",9JXSsgYAAAAJ,1737.0,https://scholar.google.com/citations?view_op=medium_photo&user=9JXSsgYAAAAJ,@cse.sc.edu
128,"Huang, Kevin ",Professor,Faculty,"['fuel cells, batteries, gas membranes, modeling, electrochemistry'],['Curriculum Vitae pdf Publications pdf www . Huanglabs . comDr . Huang s research interests include solid oxide electrochemical cells , storage batteries , gas separation membranes , solid state defect chemistry and electrochemistry , and multiscale computational modeling . K , Huang and J , B , Goodenough , Solid Oxide Fuel Cell Technology Principles , Performance and Operations , September 2009 , Woodhead Publishing Ltd . , Cambridge , UK http www . woodheadpublishing . com en book . aspx ? bookID 1613']","Dr. Huang's research interests include solid oxide electrochemical cells, storage
                                 batteries, gas separation membranes, solid state defect chemistry and electrochemistry,
                                 and multiscale computational modeling.
                              ","[""solid"",""oxide"",""huang"",""www""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/huang_kevin.php,"Kevin Huang, Keqin Huang","University of South Carolina, University of Texas at Austin",yp3hWIsAAAAJ,8776.0,https://scholar.google.com/citations?view_op=medium_photo&user=yp3hWIsAAAAJ,@cec.sc.edu
129,"Huang, Xinyu ","Associate Professor, Mechanical Engineering",Faculty,"['fuel cell, composites, coating, durability'],['Dr . Huang s research interests include mechanics and durability of functional and structural composite materials , in particular , composite materials in polymer electrolyte membrane fuel cells , solid oxide fuel cells , structural composites , and coatings .']","Dr. Huang's research interests include mechanics and durability of functional and
                                    structural composite materials, in particular, composite materials in polymer electrolyte
                                    membrane fuel cells, solid oxide fuel cells, structural composites, and coatings.","[""fuel"",""composite"",""materials"",""cells"",""structural""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/huang_xinyu.php,Xinyu Huang,"Associate Professor, Mechanical Engineering Department, University of South Carolina",DOuTvN0AAAAJ,2031.0,https://scholar.google.com/citations?view_op=medium_photo&user=DOuTvN0AAAAJ,@mailbox.sc.edu
130,"Huhns, Michael N.",NCR Distinguished Professor Emeritus of Computer Science and Engineering,Staff,"['multiagent systems, service-oriented computing, ontologies, computer vision, distributed computing'],['Professor Huhns research interests are in the areas of multiagent systems , service oriented computing , enterprise integration , and ontology based distributed information systems . In these areas he is the author of over 250 technical papers and eleven books , including his recent book Service Oriented Computing Semantics , Processes , Agents . He holds one patent for the architecture of a distributed computer system . He has conducted research funded by NSF , DARPA , NIST , IARPA , DOE , EPA , USDA , and NASA , as well as numerous industrial organizations . He serves on the editorial boards for 12 journals , is a Senior Member of the ACM , a Fellow of the Association for the Advancement of Artificial Intelligence , and a Fellow of the IEEE .']","
 Ph.D., (Electrical Engineering), University of Southern California (1975)
M.S., (Electrical Engineering) University of Southern California (1971)
BSE, (Electrical Engineering) University of Michigan (1969) 
","[""engineering"",""university"",""systems"",""electrical""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/michaelhuhns.php,Michael Huhns,"Professor of Computer Science and Engineering, University of South Carolina",hvtmB0UAAAAJ,14718.0,https://scholar.google.com/citations?view_op=medium_photo&user=hvtmB0UAAAAJ,@sc.edu
133,"Humphries, Wilfred Kenneth",Dean Emeritus,Staff,"['Areas of research , teaching , and professional practice include soil dynamics , effects of blasting on structures , flexible pavements , soil stabilization , deep and shallow foundations , lateral earth pressures , and retaining walls . At present , Dr . Humphries serves as Senior Geotechnical Consultant for Terracon Consultants , Inc . , a national engineering firm with approximately 3 , 000 employees with locations in over 100 cities in the U . S . In recognition of Dr . Humphries service to the Engineering community , he has received numerous awards and honors including the Order of the Palmetto South Carolina s highest honor , the rank of Fellow by both ASCE and NSPE , South Carolina Engineer of the Year , the Public Service Award , the Letalier Cup , and the Government Employee of the Year , among others .']","Areas of research, teaching, and professional practice include soil dynamics, effects
                                 of blasting on structures, flexible pavements, soil stabilization, deep and shallow
                                 foundations, lateral earth pressures, and retaining walls.
                              ","[""soil"",""walls"",""flexible"",""professional"",""dynamics"",""year"",""earth""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/humphries_wilfred.php,,,,,,
134,"Huray, Paul G.","Professor Emeritus, Electrical Engineering",Staff,"['SwearingenRoom 3A19301 Main StreetColumbia , SC 29208']",,"[""streetcolumbia"",""swearingenroom"",""main""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/huraypaul.php,,,,,,
135,"Huynh, Nathan","Professor, Director of Undergraduate Studies Civil and Environmental Engineering",Faculty,"['port operations, drayage, freight, logistics, health care'],['Dr . Huynh s current research interests include 1 supply chain and logistics , 2 intermodal network design , 3 freight transportation systems , 4 civil infrastructure systems , and 5 health care systems . The common thread in his research is the application of transportation engineering , operations research , computer science , and management science techniques to improve system efficiency while maintaining quality service . He is particularly interested in using technologies to capture data to enable more sophisticated modeling of infrastructure and health care systems . For more information about Dr . Huynh and his research , please visit his webpage .']","Dr. Huynh’s current research interests include (1) supply chain and logistics, (2)
                                 intermodal network design, (3) freight transportation systems, (4) civil infrastructure
                                 systems, and (5) health care systems.  The common thread in his research is the application
                                 of transportation engineering, operations research, computer science, and management
                                 science techniques to improve system efficiency while maintaining quality service.
                                  He is particularly interested in using technologies to capture data to enable more
                                 sophisticated modeling of infrastructure and health care systems. 
                              ","[""systems"",""research"",""science"",""transportation"",""infrastructure""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/huynh_nathan.php,Nathan Huynh,"University of Texas at Austin, University of South Carolina, North Carolina A&T University",59twLdoAAAAJ,1872.0,https://scholar.google.com/citations?view_op=medium_photo&user=59twLdoAAAAJ,@cec.sc.edu
