pid,agency,agencyId,title,deadline,reference,budget,details,oneLiner,keywords
1580,nsf,nsf19548,Cyberinfrastructure for Sustained Scientific Innovation CSSI Elements and Framework Implementations,4/8/2019,https://www.nsf.gov/pubs/2019/nsf19548/nsf19548.htm,"46,500,000",The Cyberinfrastructure for Sustained Scientific Innovation CSSI umbrella program seeks to enable funding opportunities that are flexible and responsive to the evolving and emerging needs in cyberinfrastructure . This program continues the CSSI program by removing the distinction between software and data elements framework implementations and instead emphasizing integrated cyberinfrastructure services quantitative metrics with targets for delivery and usage of these services and community creation . The CSSI umbrella program anticipates four classes of awards Elements These awards target small groups that will create and deploy robust services for which there is a demonstrated need that will advance one or more significant areas of science and engineering . Framework Implementations These awards target larger interdisciplinary teams organized around the development and application of common services aimed at solving common research problems faced by NSF researchers in one or more areas of science and engineering resulting in a sustainable community framework providing Cyberinfrastructure CI services to a diverse community or communities . Planning Grants for Community Cyberinfrastructure Planning awards focus on the establishment of long term cyberinfrastructure services which would serve a research community of substantial size and disciplinary breadth . Community Cyberinfrastructure Implementations These Community Software Cyberinfrastructure Implementations focus on the establishment of long term hubs of excellence in cyberinfrastructure services which will serve a research community of substantial size and disciplinary breadth . This particular CSSI solicitation requests only Elements and Framework Implementations classes of awards . Prospective Principal Investigators PIs should be aware that this is a multi directorate activity and that they are encouraged to submit proposals with broad interdisciplinary interests . Further not all divisions are participating at the same level and division specific priorities differ . Thus PIs interested in responding to this solicitation are encouraged to refer to core program descriptions Dear Colleague Letters and recently posted descriptions on directorate and divisional home pages to gain insight about the priorities for the relevant areas of science and engineering to which their proposals may be responsive . Prospective PIs should also refer to the directorate division specific descriptions contained in Section II of this solicitation . Finally it is strongly recommended that prospective PIs contact program officer s from the list of Cognizant Program Officers in the division s that typically support the scientists and engineers who would make use of the proposed work to gain insight into the priorities for the relevant areas of science and engineering to which their proposals should be responsive . As part of contacting Cognizant Program Officers prospective PIs are also encouraged to ascertain that the focus and budget of their proposed work are appropriate for this solicitation .,"Thus PIs interested in responding to this solicitation are encouraged to refer to core program descriptions Dear Colleague Letters and recently posted descriptions on directorate and divisional home pages to gain insight about the priorities for the relevant areas of science and engineering to which their proposals may be responsive .
Finally it is strongly recommended that prospective PIs contact program officer s from the list of Cognizant Program Officers in the division s that typically support the scientists and engineers who would make use of the proposed work to gain insight into the priorities for the relevant areas of science and engineering to which their proposals should be responsive .","[""services"",""program"",""s"",""mplementations"",""awards""]"
1584,nsf,nsf20592,Cyberinfrastructure for Sustained Scientific Innovation CSSI Elements and Framework Implementations,10/28/2020,https://www.nsf.gov/pubs/2020/nsf20592/nsf20592.htm,"33,000,000",The Cyberinfrastructure for Sustained Scientific Innovation CSSI umbrella program seeks to enable funding opportunities that are flexible and responsive to the evolving and emerging needs in cyberinfrastructure CI . This program continues the CSSI program by removing the distinction between software and data elements framework implementations and instead emphasizing integrated CI services quantitative metrics with targets for delivery and usage of these services and community creation . The CSSI umbrella program anticipates two classes of awards Elements These awards target small groups that will create and deploy robust services for which there is a demonstrated need and that will advance one or more significant areas of science and engineering . Framework Implementations These awards target larger interdisciplinary teams organized around the development and application of services aimed at solving common research problems faced by NSF researchers in one or more areas of science and engineering and resulting in a sustainable community framework providing CI services to a diverse community or communities . Prospective Principal Investigators PIs should be aware that this is a multi directorate activity and that they are encouraged to submit proposals with broad interdisciplinary interests . Further not all divisions are participating at the same level and division specific priorities differ . Prospective PIs should also refer to the directorate division specific descriptions contained in Section II of this solicitation . Finally it is strongly recommended that prospective PIs contact program officer s from the list of Cognizant Program Officers in the division s that typically support the scientists and engineers who would make use of the proposed work to gain insight into the priorities for the relevant areas of science and engineering to which their proposals should be responsive . As part of contacting Cognizant Program Officers prospective PIs are also encouraged to ascertain that the focus and budget of their proposed work are appropriate for this solicitation .,Finally it is strongly recommended that prospective PIs contact program officer s from the list of Cognizant Program Officers in the division s that typically support the scientists and engineers who would make use of the proposed work to gain insight into the priorities for the relevant areas of science and engineering to which their proposals should be responsive .,"[""services"",""program"",""s"",""areas""]"
1586,nsf,nsf05560,Cyberinfrastructure TEAM CI TEAM Demonstration Projects,5/27/2005,https://www.nsf.gov/pubs/2005/nsf05560/nsf05560.htm,"2,500,000",Information technology IT enabled systems tools and services have had a profound impact on the practice of science and engineering research and education . Integrated together to create a national cyberinfrastructure these systems tools and services are enabling individuals groups and organizations to advance science and engineering in ways that revolutionize what they can do how they do it and who can participate . To harness the full power of cyberinfrastructure and the promise it portends for discovery learning and innovation across and within all areas of science and engineering requires focused investments in the preparation of a science and engineering workforce with the knowledge and requisite skills needed to create advance and exploit cyberinfrastructure over the long term . The creation of the CI TEAM program signals NSF s commitment to join with the national science and engineering community in the support of projects designed to prepare current and future generations of scientists and engineers to create advance and exploit cyberinfrastructure . Since cyberinfrastructure promises to make state of the art science and engineering research more accessible to all it is expected that activities undertaken will broaden the participation of groups currently underrepresented in the science and engineering enterprise . This first CI TEAM solicitation seeks promising demonstration project proposals from partnerships of organizations committed to the preparation of a diverse cyberinfrastructure savvy science and engineering workforce . Following merit review of the proposals received NSF will select 10 20 projects for support that together address a rich mix of cyberinfrastructure related workforce dimensions and that promise to serve as pathfinders to effective larger scale implementation activities in the future .,The creation of the CI TEAM program signals NSF s commitment to join with the national science and engineering community in the support of projects designed to prepare current and future generations of scientists and engineers to create advance and exploit cyberinfrastructure .,"[""engineering"",""science"",""cyberinfrastructure""]"
1587,nsf,nsf07564,"Cyberinfrastructure Training , Education , Advancement , and Mentoring for Our 21st Century Workforce CI TEAM",8/27/2007,https://www.nsf.gov/pubs/2007/nsf07564/nsf07564.htm,"12,150,000",New information communication and computational technologies have had profound impacts on the practice of science and engineering . Linked to create a comprehensive cyberinfrastructure the systems tools and services emerging from these new technologies are enabling individuals groups and organizations to advance research and education in ways that revolutionize who can participate what they can do and how they do it . Sustaining this revolution across all areas of science and engineering requires the formation of a workforce with the knowledge and skills needed to design and deploy as well as adopt and apply these cyber based systems tools and services over the long term . The opportunity for such preparation should be available at all stages of formal and informal education training and professional development and must be extended to all interested individuals and communities . The CI TEAM program supports projects that position the national science and engineering community to engage in integrated research and education activities promoting leveraging and utilizing cyberinfrastructure systems tools and services . CI TEAM awards will Prepare current and future generations of scientists engineers and educators to design and develop as well as adopt and deploy cyber based tools and environments for research and learning both formal and informal . Expand and enhance participation in cyberinfrastructure science and engineering activities of diverse groups of people and organizations with particular emphasis on the inclusion of traditionally underrepresented individuals institutions and communities as both creators and users of cyberinfrastructure . This solicitation seeks two types of project proposals both aimed at the preparation of a diverse cyberinfrastructure savvy science and engineering workforce . One type of proposal the Demonstration Project is exploratory in nature and may be somewhat limited in scope and scale . Demonstration Projects have the potential to serve as exemplars to effective larger scale implementation activities in the future . The other project type the Implementation Project is generally larger in scope or scale and draws on prior experience with the activities or the teams proposed . Implementation Projects are expected to deliver sustainable learning and workforce development activities that complement ongoing NSF investment in cyberinfrastructure . All CI TEAM projects seek to broaden and diversify the population of individuals and institutions participating in cyberinfrastructure activities specifically and thereby science and engineering more generally . Toward that goal both types of projects consist of collaborations with expertise in multiple disciplines and involve partnerships that support integrated research and learning among diverse organizations including as appropriate academic institutions of higher learning primary and secondary schools government industry professional societies other not for profit organizations and international partners . Other key features of CI TEAM projects involve a commitment to leveraging existing or current development efforts in cyberinfrastructure technologies open software standards and open educational resources the integration of research and learning institutional partnerships and strategic implementation management and evaluation plans . Following merit review of the proposals received NSF expects to select for support 12 to 15 Demonstration Projects at up to 250 000 total each and 7 to 12 Implementation Projects at up to 1 000 000 total each that together constitute a rich portfolio of cyberinfrastructure related workforce development activities .,"The CI TEAM program supports projects that position the national science and engineering community to engage in integrated research and education activities promoting leveraging and utilizing cyberinfrastructure systems tools and services .
CI TEAM awards will Prepare current and future generations of scientists engineers and educators to design and develop as well as adopt and deploy cyber based tools and environments for research and learning both formal and informal .
Other key features of CI TEAM projects involve a commitment to leveraging existing or current development efforts in cyberinfrastructure technologies open software standards and open educational resources the integration of research and learning institutional partnerships and strategic implementation management and evaluation plans .","[""cyberinfrastructure"",""science"",""activities"",""engineering""]"
1589,nsf,nsf06548,"Cyberinfrastructure Training , Education , Advancement , and Mentoring for Our 21st Century Workforce CI TEAM",6/5/2006,https://www.nsf.gov/pubs/2006/nsf06548/nsf06548.htm,"10,000,000",Information technology IT enabled systems tools and services have had profound impact on the practice of science and engineering research and education . Integrated to create a national cyberinfrastructure these systems tools and services are enabling individuals groups and organizations to advance science and engineering in ways that revolutionize who can participate what they can do and how they do it . To harness the full power of cyberinfrastructure and the promise it portends for discovery learning and innovation across and within all areas of science and engineering requires focused investments in the preparation of a science and engineering workforce with the knowledge and skills needed to create advance and take advantage of cyberinfrastructure over the long term . The CI TEAM program supports projects that position the national science and engineering community to engage in research and education activities promoting and leveraging cyberinfrastructure . CI TEAM awards will Prepare current and future generations of scientists engineers and educators to use support deploy develop and design cyberinfrastructure andFoster inclusion in cyberinfrastructure activities of diverse groups of people and organizations with particular emphasis on traditionally underrepresented groups . The FY06 expanded CI TEAM solicitation seeks two types of project proposals both aimed at the preparation of a diverse cyberinfrastructure savvy science and engineering workforce . One type of proposal the Demonstration Project is exploratory in nature and may be somewhat limited in scope and scale . Demonstration Projects have the potential to serve as pathfinders to effective larger scale implementation activities in the future . The other project type the Implementation Project is generally larger in scope or scale and draws on prior experience with the activities or the teams proposed . Implementation Projects are expected to deliver sustainable learning and workforce development activities that complement ongoing NSF investment in cyberinfrastructure .,"CI TEAM awards will Prepare current and future generations of scientists engineers and educators to use support deploy develop and design cyberinfrastructure andFoster inclusion in cyberinfrastructure activities of diverse groups of people and organizations with particular emphasis on traditionally underrepresented groups .
The other project type the Implementation Project is generally larger in scope or scale and draws on prior experience with the activities or the teams proposed .","[""cyberinfrastructure"",""science"",""engineering""]"
1593,nsf,nsf10532,"Cyberinfrastructure Training , Education , Advancement , and Mentoring for Our 21st Century Workforce CI TEAM",4/27/2010,https://www.nsf.gov/pubs/2010/nsf10532/nsf10532.htm,"5,000,000",New information communication and computational technologies have had profound impacts on the practice of science and engineering . Linked to create a comprehensive cyberinfrastructure the systems tools and services emerging from these new technologies are enabling individuals groups and organizations to advance research and education in ways that revolutionize who can participate what they can do and how they do it . Sustaining this revolution across all areas of science and engineering requires the formation of a workforce with the knowledge and skills needed to design and deploy as well as adopt and apply these cyber based systems tools and services over the long term . The opportunity for such preparation should be available at all stages of formal and informal education training and professional development and must be extended to all interested individuals and communities . The CI TEAM program supports projects that position the national science and engineering community to engage in integrated research and education activities promoting leveraging and utilizing cyberinfrastructure systems tools and services . CI TEAM awards will Prepare current and future generations of scientists engineers and educators to design and develop as well as adopt and deploy cyber based tools and environments for research and learning both formal and informal . Expand and enhance participation in cyberinfrastructure science and engineering activities of diverse groups of people and organizations with particular emphasis on the inclusion of traditionally underrepresented individuals institutions especially Historically Black Colleges and Universities HBCUs and Minority Serving Institutions MSIs and communities as both creators and users of cyberinfrastructure . This solicitation seeks three types of project proposals all aimed at the preparation of a diverse cyberinfrastructure savvy science and engineering workforce . One type of proposal the Demonstration Project is exploratory in nature and may be somewhat limited in scope and scale . Demonstration Projects have the potential to serve as exemplars to effective larger scale implementation and diffusion activities in the future . The second project type the Implementation Project is generally larger in scope or scale and draws on prior experience with the activities or the teams proposed . The third project type the Diffusion Project is expected to engage broad national audiences with research results resources models and or technologies . Implementation or Diffusion Projects are expected to deliver sustainable learning and workforce development activities that complement ongoing NSF investment in cyberinfrastructure . All CI TEAM projects seek to broaden and diversify the population of individuals and institutions participating in cyberinfrastructure activities specifically and thereby science and engineering more generally . Toward that goal the three types of projects consist of collaborations with expertise in multiple disciplines and involve partnerships that support integrated research and learning among diverse organizations including as appropriate academic institutions of higher learning primary and secondary schools government industry professional societies other not for profit organizations and international partners . Other key features of CI TEAM projects involve a commitment to leveraging existing or current development efforts in cyberinfrastructure technologies open software standards and open educational resources the integration of research and learning institutional partnerships and strategic implementation management and evaluation plans . Following merit review of the proposals received NSF expects to select for support 6 to 7 Demonstration Projects at up to 250 000 total each and 3 to 6 Implementation or Diffusion Projects at up to 1 000 000 total each that together constitute a rich portfolio of cyberinfrastructure related workforce development activities .,"The CI TEAM program supports projects that position the national science and engineering community to engage in integrated research and education activities promoting leveraging and utilizing cyberinfrastructure systems tools and services .
CI TEAM awards will Prepare current and future generations of scientists engineers and educators to design and develop as well as adopt and deploy cyber based tools and environments for research and learning both formal and informal .
Other key features of CI TEAM projects involve a commitment to leveraging existing or current development efforts in cyberinfrastructure technologies open software standards and open educational resources the integration of research and learning institutional partnerships and strategic implementation management and evaluation plans .","[""cyberinfrastructure"",""research"",""activities"",""science""]"
1595,nsf,nsf11515,"Cyberinfrastructure Training , Education , Advancement , and Mentoring for Our 21st Century Workforce CI TEAM",3/16/2011,https://www.nsf.gov/pubs/2011/nsf11515/nsf11515.htm,"5,000,000",New information communication and computational technologies have had profound impacts on the practice of science in this solicitation the term science includes the natural mathematical computing and social sciences engineering and education . This includes the means by which citizens of all ages use science and engineering to enhance professional and private lives . The systems tools and services emerging from these new technologies are linked to create a comprehensive cyberinfrastructure that is enabling individuals groups and organizations to advance research and education in ways that revolutionize who can participate what they can do and how they do it . Sustaining this revolution across all areas of science engineering and education requires the formation of a citizenry and workforce with the knowledge and skills needed to design and deploy as well as adopt and apply these cyber based systems tools and services over the long term . The opportunity for such preparation should be available at all stages of formal and informal education K 16 and lifelong training and professional development and must be extended to all individuals and communities . The CI TEAM program supports projects that integrate science and engineering research and education activities that range from local activities to global scale efforts as appropriate to promote leverage and utilize cyberinfrastructure systems tools and services . Collectively the CI TEAM awards will Increase the numbers of scientists engineers educators and or students prepared to design develop adopt and deploy cyber based tools and environments for computational science and engineering research and learning both formal and informal . This is to include individuals who are otherwise well prepared in the STEM disciplines . Produce curricular and pedagogical materials learning technologies and institutional models for preparing the cyberinfrastructure workforce that are broadly adaptable and or adoptable and publish related outcomes that inform others of promising educational approaches . Increase and broaden the participation of diverse groups of people and organizations as both creators and users of cyberinfrastructure for research and education . Currently underrepresented groups include women those in underserved rural regions of the country those who would be the first in their family to graduate from college and minorities including those associated with Historically Black Colleges and Universities HBCUs and other Minority Serving Institutions MSIs and communities . This solicitation seeks three types of project proposals all aimed at the preparation of a diverse cyberinfrastructure savvy science and engineering workforce Demonstration Projects are exploratory in nature and may be somewhat limited in scope and scale . Demonstration Projects have the potential to serve as exemplars for effective larger scale implementation and diffusion activities in the future . Implementation Projects are generally larger in scope or scale and draw on prior experience with the activities or the teams proposed . Diffusion Projects are expected to inform and engage broad national and or international audiences to build upon educational research and project outcomes to deploy promising educational strategies through cyberinfrastructure resources models and or technologies . Implementation and Diffusion Projects are expected to deliver sustainable learning or workforce development activities that complement ongoing NSF investment in cyberinfrastructure . All CI TEAM projects seek to create and maintain a broad and diverse population of individuals and institutions participating in cyberinfrastructure activities specifically and thereby science and engineering more generally . Toward that goal all types of projects must include collaborations with expertise in multiple disciplines and involve partnerships that support integrated research and learning among diverse organizations including as appropriate academic institutions of higher learning primary and secondary schools government industry professional societies other not for profit organizations and international partners . Other key features of CI TEAM projects involve a commitment to leveraging existing or current development efforts in cyberinfrastructure technologies open software standards and open educational resources the integration of research and learning institutional partnerships and strategic implementation management and project evaluation plans . Following merit review of the proposals received NSF expects to select for support 6 to 7 Demonstration Projects at up to 250 000 total each and 3 to 6 Implementation or Diffusion Projects at up to 1 000 000 total each that together constitute a rich portfolio of cyberinfrastructure related workforce development activities .,"The CI TEAM program supports projects that integrate science and engineering research and education activities that range from local activities to global scale efforts as appropriate to promote leverage and utilize cyberinfrastructure systems tools and services .
Collectively the CI TEAM awards will Increase the numbers of scientists engineers educators and or students prepared to design develop adopt and deploy cyber based tools and environments for computational science and engineering research and learning both formal and informal .
This solicitation seeks three types of project proposals all aimed at the preparation of a diverse cyberinfrastructure savvy science and engineering workforce Demonstration Projects are exploratory in nature and may be somewhat limited in scope and scale .
All CI TEAM projects seek to create and maintain a broad and diverse population of individuals and institutions participating in cyberinfrastructure activities specifically and thereby science and engineering more generally .","[""cyberinfrastructure"",""activities"",""engineering"",""learning"",""science"",""rojects""]"
1596,nsf,nsf14526,Cyberlearning and Future Learning Technologies Cyberlearning,3/19/2014,https://www.nsf.gov/pubs/2014/nsf14526/nsf14526.htm,up to $18 million,The purpose of the Cyberlearning and Future Learning Technologies program is to integrate opportunities offered by emerging technologies with advances in what is known about how people learn to advance three interconnected thrusts Innovation inventing and improving next generation genres types of learning technologies identifying new means of using technology for fostering and assessing learning and proposing new ways of integrating learning technologies with each other and into learning environments to foster and assess learning Advancing understanding of how people learn in technology rich learning environments enhancing understanding of how people learn and how to better foster and assess learning especially in technology rich learning environments that offer new opportunities for learning and through data collection and computational modeling of learners and groups of learners that can be done only in such environments andPromoting broad use and transferability of new genres extracting lessons from experiences with these technologies that can inform design and use of new genres across disciplines populations and learning environments advancing understanding of how to foster learning through effective use these new technologies and the environments they are integrated into . The intention of this program is to advance technologies that specifically focus on the experiences of learners innovations that simply focus on making teaching easier will not be funded . Proposals that focus on teachers or facilitators as learners are invited the aim in these proposals should be to help teachers and facilitators learn to make the learning experiences of learners more effective . Proposals are expected to address all three of the program s thrusts . Of particular interest are technological advances that 1 foster deep understanding of content coordinated with masterful learning of practices and skills 2 draw in and encourage learning among populations not served well by current educational practices and or 3 provide new ways of assessing understanding engagement and capabilities of learners . It is expected that research funded by this program will shed light on how technology can enable new forms of educational practice . This program does not support proposals that aim simply to implement and evaluate a particular software application or technology in support of a specific course . Awards will be made in three research categories each focusing on a different stage of research and development Exploration EXP Design and Implementation DIP and Integration INT . The program will also support small Capacity Building Projects CAP e . g . conferences workshops and partnership building activities and will continue to participate in NSF s Foundation Wide programs EAGER RAPID INSPIRE and CAREER .,"The purpose of the Cyberlearning and Future Learning Technologies program is to integrate opportunities offered by emerging technologies with advances in what is known about how people learn to advance three interconnected thrusts Innovation inventing and improving next generation genres types of learning technologies identifying new means of using technology for fostering and assessing learning and proposing new ways of integrating learning technologies with each other and into learning environments to foster and assess learning Advancing understanding of how people learn in technology rich learning environments enhancing understanding of how people learn and how to better foster and assess learning especially in technology rich learning environments that offer new opportunities for learning and through data collection and computational modeling of learners and groups of learners that can be done only in such environments andPromoting broad use and transferability of new genres extracting lessons from experiences with these technologies that can inform design and use of new genres across disciplines populations and learning environments advancing understanding of how to foster learning through effective use these new technologies and the environments they are integrated into .
The intention of this program is to advance technologies that specifically focus on the experiences of learners innovations that simply focus on making teaching easier will not be funded .","[""learning"",""new"",""learners"",""environments"",""program""]"
1597,nsf,nsf11587,Cyberlearning Transforming Education,12/15/2011,https://www.nsf.gov/pubs/2011/nsf11587/nsf11587.htm,"36,000,000",Through the Cyberlearning Transforming Education program NSF seeks to integrate advances in technology with advances in what is known about how people learn to better understand how people learn with technology and how technology can be used productively to help people learn through individual use and or through collaborations mediated by technology better use technology for collecting analyzing sharing and managing data to shed light on learning promoting learning and designing learning environments anddesign new technologies for these purposes and advance understanding of how to use those technologies and integrate them into learning environments so that their potential is fulfilled . Of particular interest are technological advances that allow more personalized learning experiences draw in and promote learning among those in populations not served well by current educational practices allow access to learning resources anytime and anywhere and provide new ways of assessing capabilities . It is expected that Cyberlearning research will shed light on how technology can enable new forms of educational practice and that broad implementation of its findings will result in a more actively engaged and productive citizenry and workforce . Cyberlearning awards will be made in three research categories each focusing on a different stage of research and development Exploratory EXP Design and Implementation DIP and Integration and Deployment INDP . The Cyberlearning program will also support small Capacity Building Projects CAP and a Cyberlearning Resource Center CRC .,Through the Cyberlearning Transforming Education program NSF seeks to integrate advances in technology with advances in what is known about how people learn to better understand how people learn with technology and how technology can be used productively to help people learn through individual use and or through collaborations mediated by technology better use technology for collecting analyzing sharing and managing data to shed light on learning promoting learning and designing learning environments anddesign new technologies for these purposes and advance understanding of how to use those technologies and integrate them into learning environments so that their potential is fulfilled .,"[""learning"",""technology"",""yberlearning""]"
1598,nsf,nsf17520,Cyberlearning and Future Learning Technologies Cyberlearning,2/10/2017,https://www.nsf.gov/pubs/2017/nsf17520/nsf17520.htm,"6,000,000",The purpose of the Cyberlearning and Future Learning Technologies program is to integrate opportunities offered by emerging technologies with advances in what is known about how people learn to advance three interconnected thrusts Cyber innovation Developing next generation cyberlearning approaches through high risk high reward advances in computer and information science and engineering Learning innovation Inventing and improving next generation genres types of learning technologies identifying new means of using technology for fostering and assessing learning and proposing new ways of integrating learning technologies with each other and into learning environments to foster and assess learning andAdvancing understanding of how people learn in technology rich learning environments Enhancing understanding of how people learn and how to better foster and assess learning especially in technology rich learning environments that offer new opportunities for learning and through data collection and computational modeling of learners and groups of learners that can be done only in such environments . The intention of this program is to advance technologies that specifically focus on the experiences of learners innovations that simply focus on making teaching easier will not be funded . Proposals that focus on teachers or facilitators as learners are invited the aim in these proposals should be to help teachers and facilitators capitalize on the affordances of technology and fundamental knowledge about how people learn to make the learning experiences of learners more effective . Proposals are expected to address all three of the program s thrusts . Of particular interest are technological advances that 1 foster deep understanding of content coordinated with masterful learning of practices and skills 2 draw in and encourage learning among populations not served well by current educational practices and or 3 provide new ways of assessing understanding engagement and capabilities of learners . It is expected that research funded by this program will shed light on how technology can enable new forms of educational practice . This program does not support proposals that aim simply to implement and evaluate a particular software application or technology in support of a specific course .,The intention of this program is to advance technologies that specifically focus on the experiences of learners innovations that simply focus on making teaching easier will not be funded .,"[""learning"",""learners"",""new"",""technology""]"
1602,nsf,nsf17598,Cyberlearning for Work at the Human Technology Frontier,1/8/2018,https://www.nsf.gov/pubs/2017/nsf17598/nsf17598.htm,"15,000,000",The purpose of the Cyberlearning for Work at the Human Technology Frontier program is to fund exploratory and synergistic research in learning technologies to prepare learners to excel in work at the human technology frontier . This program responds to the pressing societal need to educate and re educate learners of all ages students teachers and workers in science technology engineering and mathematics STEM content areas to ultimately function in highly technological environments including in collaboration with intelligent systems . Innovative technologies can reshape learning processes which in turn can influence new technology design . Learning technology research in this program should be informed by the convergence of multiple disciplines education and learning sciences computer and information science and engineering and cognitive behavioral and social sciences . This program funds learning technology research in STEM and other foundational areas that enable STEM learning .,This program funds learning technology research in STEM and other foundational areas that enable STEM learning .,"[""research"",""learning"",""technology"",""program""]"
1604,nsf,nsf20612,Research on Emerging Technologies for Teaching and Learning RETTL,1/25/2021,https://www.nsf.gov/pubs/2020/nsf20612/nsf20612.htm,"19,000,000",The purpose of the Research on Emerging Technologies for Teaching and Learning RETTL program is to fund exploratory and synergistic research in emerging technologies to include but not limited to artificial intelligence AI robotics and immersive or augmenting technologies for teaching and learning in the future . The program accepts proposals that focus on learning teaching or a combination of both . The scope of the program is broad with special interest in diverse learner educator populations contexts and content including teaching and learning in science technology engineering and mathematics STEM and in foundational areas that enable STEM e . g . self regulation literacy communication collaboration creativity and socio emotional skills . Research in this program should be informed by the convergence synthesis of multiple disciplines e . g . learning sciences discipline based education research computer and information science and engineering design and cognitive behavioral and social sciences . Within this broad scope the program also encourages projects that investigate teaching and learning related to futuristic and highly technological work environments .,The scope of the program is broad with special interest in diverse learner educator populations contexts and content including teaching and learning in science technology engineering and mathematics STEM and in foundational areas that enable STEM e .,"[""program"",""learning"",""teaching"",""he""]"
1607,nsf,nsf15549,Cybersecurity Innovation for Cyberinfrastructure CICI,6/2/2015,https://www.nsf.gov/pubs/2015/nsf15549/nsf15549.htm,"11,000,000",Advancements in data driven scientific research depend on trustworthy and reliable cyberinfrastructure . Researchers rely on a variety of networked technologies and software tools to achieve their scientific goals . These may include local or remote instruments wireless sensors software programs operating systems database servers high performance computing large scale storage arrays and other critical infrastructure connected by high speed networking . This complex distributed interconnected global cyberinfrastructure ecosystem presents unique cybersecurity challenges . NSF funded scientific instruments are specialized highly visible assets that present attractive targets for both unintentional errors and malicious activity untrustworthy software or a loss of integrity of the data collected by a scientific instrument may mean corrupt skewed or incomplete results . Furthermore often data driven research e . g . in the medical field or in the social sciences requires access to private information and exposure of such data may cause financial reputational and or other damage . Therefore an increasing area of focus for NSF is the development and deployment of hardware and software technologies and techniques to protect research cyberinfrastructure across every stage of the scientific workflow .,Therefore an increasing area of focus for NSF is the development and deployment of hardware and software technologies and techniques to protect research cyberinfrastructure across every stage of the scientific workflow .,"[""scientific"",""software"",""data""]"
1608,nsf,nsf16533,Cybersecurity Innovation for Cyberinfrastructure CICI,4/19/2016,https://www.nsf.gov/pubs/2016/nsf16533/nsf16533.htm,"7,000,000",Advancements in data driven scientific research depend on trustworthy and reliable cyberinfrastructure . Researchers rely on a variety of networked technologies and software tools to achieve their scientific goals . These may include local or remote instruments wireless sensors software programs operating systems database servers high performance computing large scale storage and other critical infrastructure connected by high speed networking . This complex distributed interconnected global cyberinfrastructure ecosystem presents unique cybersecurity challenges . NSF funded scientific instruments sensors and equipment are specialized highly visible assets that present attractive targets for both unintentional errors and malicious activity untrustworthy software or a loss of integrity of the data collected by a scientific instrument may mean corrupt skewed or incomplete results . Furthermore often data driven research e . g . in the medical field or in the social sciences requires access to private information and exposure of such data may cause financial reputational and or other damage . Therefore an increasing area of focus for NSF is the development and deployment of hardware and software technologies and techniques to protect research cyberinfrastructure across every stage of the scientific workflow .,Therefore an increasing area of focus for NSF is the development and deployment of hardware and software technologies and techniques to protect research cyberinfrastructure across every stage of the scientific workflow .,"[""scientific"",""data"",""software""]"
1612,nsf,nsf17528,Cybersecurity Innovation for Cyberinfrastructure CICI,3/1/2017,https://www.nsf.gov/pubs/2017/nsf17528/nsf17528.htm,"8,500,000",Advancements in data driven scientific research depend on trustworthy and reliable cyberinfrastructure . Researchers rely on a variety of networked technologies and software tools to achieve their scientific goals . These may include local or remote instruments wireless sensors software programs operating systems database servers high performance computing large scale storage and other critical infrastructure connected by high speed networking . This complex distributed interconnected global cyberinfrastructure ecosystem presents unique cybersecurity challenges . NSF funded scientific instruments sensors and equipment are specialized highly visible assets that present attractive targets for both unintentional errors and malicious activity untrustworthy software or a loss of integrity of the data collected by a scientific instrument may mean corrupt skewed or incomplete results . Furthermore often data driven research e . g . in the medical field or in the social sciences requires access to private information and exposure of such data may cause financial reputational and or other damage . Therefore an increasing area of focus for NSF is the development and deployment of hardware and software technologies and techniques to protect research cyberinfrastructure across every stage of the scientific workflow .,Therefore an increasing area of focus for NSF is the development and deployment of hardware and software technologies and techniques to protect research cyberinfrastructure across every stage of the scientific workflow .,"[""scientific"",""software"",""may"",""data""]"
